tweet,cleaned_tweet,cleaned_token,label
"Menghadiri kampanye akbar ""Pagelaran Anak Negeri"" di Gelora Bandung Lautan Api. Walau hujan deras, namun semangat dan antusiasme masyarakat ...",hadir kampanye akbar pagelaran anak negeri gelora bandung laut api hujan deras semangat antusiasme masyarakat,"['menghadiri', 'kampanye', 'akbar', 'pagelaran', 'anak', 'negeri', 'gelora', 'bandung', 'lautan', 'api', 'hujan', 'deras', 'semangat', 'antusiasme', 'masyarakat']",netral
perlu dipersiapkan dan diperhatikan dalam pelaksanaan Kampanye Pemilu 2024 melalui metode rapat umum. Pada pertemuan ini juga dibahas ...,siap perhati laksana kampanye milu metode rapat temu bahas,"['dipersiapkan', 'diperhatikan', 'pelaksanaan', 'kampanye', 'pemilu', 'metode', 'rapat', 'pertemuan', 'dibahas']",netral
HOHO HIHI - PRESIDEN KAMPANYE (EPISODE 128) https://t.co/uoN9DrlzAH.,hoho hihi presiden kampanye episode httpstcouondrlzah,"['hoho', 'hihi', 'presiden', 'kampanye', 'episode']",netral
RILIS TEMUAN SURVEI NASIONAL: ELEKTABILITAS DI MASA AKHIR KAMPANYE DAN PELUANG PILPRES SATU ATAU DUA PUTARAN Waktu survei: 29 Januari-5 ...,rilis temu survei nasional elektabilitas kampanye peluang pilpres putar survei januari,"['rilis', 'temuan', 'survei', 'nasional', 'elektabilitas', 'kampanye', 'peluang', 'pilpres', 'putaran', 'survei', 'januari']",netral
"Kampanye itu bukan sekedar ajang untuk pamer elektabilitas di masyarakat, namun kampanye harus dijadikan suatu momentum kita untuk ...",kampanye ajang pamer elektabilitas masyarakat kampanye jadi momentum,"['kampanye', 'sekedar', 'ajang', 'pamer', 'elektabilitas', 'masyarakat', 'kampanye', 'dijadikan', 'momentum']",negatif
kamubersihakupilih melakukan aksi kampanye di CFD Bundaran HI. Aksi dilakukan untuk mengenalkan ke publik bahwa TI-Indonesia memiliki ...,kamubersihakupilih aksi kampanye cfd bundar hi aksi kenal publik tiindonesia milik,"['kamubersihakupilih', 'aksi', 'kampanye', 'cfd', 'bundaran', 'hi', 'aksi', 'mengenalkan', 'publik', 'tiindonesia', 'memiliki']",netral
"Tulungagung menjadi kampanye terakhir kami di luar Jakarta, dan kami sangat bersyukur atas massa yang tumpah ruah serta para tokoh yang ...",tulungagung kampanye jakarta syukur massa tumpah ruah tokoh,"['tulungagung', 'kampanye', 'jakarta', 'bersyukur', 'massa', 'tumpah', 'ruah', 'tokoh']",netral
sahabatbawaslu Siapa yang Tidak Boleh Ikut Kampanye Pemilu? ✋ Kampanye Pemilu adalah momen penting dalam demokrasi kita.,sahabatbawaslu kampanye milu kampanye milu momen demokrasi,"['sahabatbawaslu', 'kampanye', 'pemilu', '✋', 'kampanye', 'pemilu', 'momen', 'demokrasi']",netral
"Respon Kampanye Pemilu 2024, Sjarifuddin Hasan: Masyarakat Antusias Menyambut Pemilu #MPRRI #MPRRumahKebangsaan #EmpatPilarMPRRI ...",respon kampanye milu sjarifuddin hasan masyarakat antusias sambut milu mprri mprrumahkebangsaan empatpilarmprri,"['respon', 'kampanye', 'pemilu', 'sjarifuddin', 'hasan', 'masyarakat', 'antusias', 'menyambut', 'pemilu']",netral
"Kemarin, saya dan Gus Muhaimin melanjutkan kampanye di Pasuruan. Kami bersyukur, kampanye di sana pun dihadiri oleh Bang Haji Rhoma Irama ...",kemarin gus muhaimin lanjut kampanye pasuruan syukur kampanye hadir bang haji rhoma irama,"['kemarin', 'gus', 'muhaimin', 'melanjutkan', 'kampanye', 'pasuruan', 'bersyukur', 'kampanye', 'dihadiri', 'bang', 'haji', 'rhoma', 'irama']",positif
"Masa Tenang Kampanye Pemilu 2024 Dimulai Hari Ini, Awas Ada Hukuman bagi Pelanggar! https://t.co/VMDjjYo9l9.",tenang kampanye milu awas hukum langgar httpstcovmdjjyol,"['tenang', 'kampanye', 'pemilu', 'awas', 'hukuman', 'pelanggar']",netral
"Jelang Akhir Masa Kampanye, Lolly Minta Jajarannya Persiapkan Pengawasan Masa Tenang Baca selengkapnya di : https://t.co/Kpq4TG6iwD.",jelang kampanye lolly jajar siap awas tenang baca lengkap httpstcokpqtgiwd,"['jelang', 'kampanye', 'lolly', 'jajarannya', 'persiapkan', 'pengawasan', 'tenang', 'baca', 'selengkapnya']",positif
"Log in · Sign up. Conversation. · @goatbye. investor kampanye. Translate post. Image. 1:12 AM · Jan 18, 2024. ·. 7,852. Views.",log in sign up conversation investor kampanye translate post image am jan views,"['log', 'in', '·', 'sign', 'up', 'conversation', '·', 'investor', 'kampanye', 'translate', 'post', 'image', 'am', '·', 'jan', '·', 'views']",netral
Masyarakat diperbolehkan mencopot alat peraga kampanye (APK) yang masih berada di jalan saat masa tenang kampanye Pemilu 2024.,masyarakat boleh copot alat raga kampanye apk jalan tenang kampanye milu,"['masyarakat', 'diperbolehkan', 'mencopot', 'alat', 'peraga', 'kampanye', 'apk', 'jalan', 'tenang', 'kampanye', 'pemilu']",netral
Kampanye Pemilu 2024 yang tercantum dalam Peraturan Komisi Pemilihan Umum (PKPU) Nomor 15 Tahun 2023 tentang Kampanye Pemilu dimulai 28 ...,kampanye milu cantum atur komisi pilih pkpu nomor kampanye milu,"['kampanye', 'pemilu', 'tercantum', 'peraturan', 'komisi', 'pemilihan', 'pkpu', 'nomor', 'kampanye', 'pemilu']",netral
"Kampanye Ganjar TERJUN BEBAS!! Ganjar LOSES 16.1% of support, Campaign in spectacular freefall! Latest 2024 Kompas Poll - the proven Gold ...",kampanye ganjar terjun bebas ganjar loses of support campaign in spectacular freefall latest kompas poll the proven gold,"['kampanye', 'ganjar', 'terjun', 'bebas', 'ganjar', 'loses', 'of', 'support', 'campaign', 'in', 'spectacular', 'freefall', 'latest', 'kompas', 'poll', 'the', 'proven', 'gold']",netral
"... ttg kampanye positif, bukan kampanye negatif dg menyerangkan & menjelek2kan lawan apalagi kampanye hitam dg menfitnah dan kebohongan.",ttg kampanye positif kampanye negatif dengan serang jelek lawan kampanye hitam dengan menfitnah bohong,"['ttg', 'kampanye', 'positif', 'kampanye', 'negatif', 'dg', 'menyerangkan', 'menjelekkan', 'lawan', 'kampanye', 'hitam', 'dg', 'menfitnah', 'kebohongan']",netral
"Tahapan kampanye telah dimulai, peserta Pemilu sudah dapat melakukan aktivitas kampanye Politik. Bawaslu Lampung mengingatkan kepada Peserta ...",tahap kampanye serta milu aktivitas kampanye politik bawaslu lampung serta,"['tahapan', 'kampanye', 'peserta', 'pemilu', 'aktivitas', 'kampanye', 'politik', 'bawaslu', 'lampung', 'peserta']",netral
"Masih soal kampanye, nih, #SahabatBawaslu. Cek info di bawah ini, ya.",kampanye ini sahabatbawaslu cek info,"['kampanye', 'nih', 'cek', 'info', 'ya']",negatif
Round up - Hari ke-29 kampanye Pilpres 2024 https://t.co/tgOKRvqVmw.,round up kampanye pilpres httpstcotgokrvqvmw,"['round', 'up', 'kampanye', 'pilpres']",netral
Round up - Hari ke-13 kampanye Pilpres 2024 https://t.co/655MDhllnc.,round up kampanye pilpres httpstcomdhllnc,"['round', 'up', 'kampanye', 'pilpres']",netral
Round Up - Hari ke-14 Kampanye Pilpres 2024 https://t.co/3eW2aga3cK.,round up kampanye pilpres httpstcoewagack,"['round', 'up', 'kampanye', 'pilpres']",netral
"Tanggapi Masa Kampanye Pemilu, Fadel Muhammad: Jangan Sampai Aparat Terlibat Agar Menghasilkan Pemilu Yang Luber Dan Jurdil #MPRRI ...",tanggap kampanye milu fadel muhammad aparat libat hasil milu luber jurdil mprri,"['tanggapi', 'kampanye', 'pemilu', 'fadel', 'muhammad', 'aparat', 'terlibat', 'menghasilkan', 'pemilu', 'luber', 'jurdil']",netral
"Masih dalam eforia kampanye, Awasmin jelaskan soal kampanye. #SahabatBawaslu simak dalam video berikut, ya. #AyoAwasiBersama.",eforia kampanye awasmin kampanye sahabatbawaslu simak video ayoawasibersama,"['eforia', 'kampanye', 'awasmin', 'kampanye', 'simak', 'video', 'ya']",netral
Round up - Hari ke-22 kampanye Pilpres 2024 https://t.co/hnR4ZgTXyD.,round up kampanye pilpres httpstcohnrzgtxyd,"['round', 'up', 'kampanye', 'pilpres']",netral
"Sehubungan dengan kegiatan Kampanye Akbar pada hari ini (Sabtu, 10/2/2024), Dishub DKI Jakarta menerapkan Rekayasa Lalu Lintas di kawasan ...",hubung giat kampanye akbar dishub dki jakarta terap rekayasa lintas kawasan,"['sehubungan', 'kegiatan', 'kampanye', 'akbar', 'sabtu', 'dishub', 'dki', 'jakarta', 'menerapkan', 'rekayasa', 'lintas', 'kawasan']",netral
"Kampanye Akbar Tiberias. Translate post. Image. 5:35 AM · Feb 10, 2024. ·. 9,201. Views. 54. Reposts.",kampanye akbar tiberias translate post image am feb views reposts,"['kampanye', 'akbar', 'tiberias', 'translate', 'post', 'image', 'am', '·', 'feb', '·', 'views', 'reposts']",netral
"YUKS KAMPANYE. Translate post. Image. 5:14 AM · Jun 25, 2023. ·. 27.8K. Views. 16. Reposts · 19. Quotes · 52. Likes. 4. Bookmarks. 4.",yuks kampanye translate post image am jun k views reposts quotes likes bookmarks,"['yuks', 'kampanye', 'translate', 'post', 'image', 'am', '·', 'jun', '·', 'k', 'views', 'reposts', '·', 'quotes', '·', 'likes', 'bookmarks']",netral
"""Ini kampanye pemilu terseru yang pernah gw rasain. Entah kenapa rasanya nggak pengin masa kampanye ini selesai."" Tadi siang gw sempat baca ...",kampanye milu seru saya rasain nggak pengin kampanye selesai siang saya baca,"['kampanye', 'pemilu', 'terseru', 'gw', 'rasain', 'nggak', 'pengin', 'kampanye', 'selesai', 'siang', 'gw', 'baca']",negatif
"Menutup masa kampanye, @PDemokrat akan hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran. Sampai jumpa siang ini, ...",tutup kampanye hadir all out gbk rapat baris menang prabowogibran jumpa siang,"['menutup', 'kampanye', 'hadir', 'all', 'out', 'gbk', 'merapatkan', 'barisan', 'menangkan', 'prabowogibran', 'jumpa', 'siang']",netral
"... kampanye Pemilu, potensi korupsi yang mengintai, dan segala penjelasan tentang RKDK (Rekening Khusus Dana Kampanye), LADK (Laporan Awal Dana ...",kampanye milu potensi korupsi intai jelas rkdk rekening khusus dana kampanye ladk lapor dana,"['kampanye', 'pemilu', 'potensi', 'korupsi', 'mengintai', 'penjelasan', 'rkdk', 'rekening', 'khusus', 'dana', 'kampanye', 'ladk', 'laporan', 'dana']",netral
"Sahabatbawaslu Sob kampanye pemilu 2024 sudah dimulai. Simak tanggalnya, jangan sampai di masa tenang kampanye.",sahabatbawaslu sob kampanye milu simak tanggal tenang kampanye,"['sahabatbawaslu', 'sob', 'kampanye', 'pemilu', 'simak', 'tanggalnya', 'tenang', 'kampanye']",netral
"Imam Bukhori mengungkapkan mengapa Deklarasi kampanye damai perlu dilakukan sebelum tahapan kampanye dimulai, ini untuk mengantisipasi dan upaya Bawaslu ...",imam bukhori deklarasi kampanye damai tahap kampanye antisipasi upaya bawaslu,"['imam', 'bukhori', 'deklarasi', 'kampanye', 'damai', 'tahapan', 'kampanye', 'mengantisipasi', 'upaya', 'bawaslu']",negatif
KAMPANYE PKS BJM. @pksbjm. Joined November 2023. 1 Following · 0 Followers · Posts · Replies · Media · Likes. @pksbjm hasn't posted.,kampanye pks bjm joined november following followers posts replies media likes hasnt posted,"['kampanye', 'pks', 'bjm', 'joined', 'november', 'following', '·', 'followers', '·', 'posts', '·', 'replies', '·', 'media', '·', 'likes', 'hasnt', 'posted']",netral
Repost • @bawaslu_RI Tahapan kampanye pemilu serentak 2024 sudah dimulai sejak 28 November - 10 Februari 2023.,repost tahap kampanye milu serentak november februari,"['repost', '•', 'tahapan', 'kampanye', 'pemilu', 'serentak', 'november', 'februari']",netral
"kampanye ; Kolaborasi BCA dan Twitter untuk ciptakan lagu dari kumpulan Tweet · Dwi Adriansah · Rabu, 22 Desember 2021 ; Twitter rayakan #hariperempuansedunia ...",kampanye kolaborasi bca twitter cipta lagu kumpul tweet dwi adriansah desember twitter raya hariperempuansedunia,"['kampanye', 'kolaborasi', 'bca', 'twitter', 'ciptakan', 'lagu', 'kumpulan', 'tweet', '·', 'dwi', 'adriansah', '·', 'rabu', 'desember', 'twitter', 'rayakan']",negatif
Pemilu 2024 adalah pemilu dg kampanye ala pasar bebas. Aturan main soal kampanye dan akuntabilitas dana kampanye dibiarkan dilanggar terang ...,milu milu dengan kampanye pasar bebas atur main kampanye akuntabilitas dana kampanye biar langgar terang,"['pemilu', 'pemilu', 'dg', 'kampanye', 'ala', 'pasar', 'bebas', 'aturan', 'main', 'kampanye', 'akuntabilitas', 'dana', 'kampanye', 'dibiarkan', 'dilanggar', 'terang']",netral
Dan Apel Siaga Pengawasan Tahapan Kampanye Pemilu 2024 yang diselenggarakan Bawaslu RI di Jakarta. Selengkapnya : https://t.co/bFoRE4wyNP #AyoAwasiBersama ...,apel siaga awas tahap kampanye milu selenggara bawaslu ri jakarta lengkap httpstcobforewynp ayoawasibersama,"['apel', 'siaga', 'pengawasan', 'tahapan', 'kampanye', 'pemilu', 'diselenggarakan', 'bawaslu', 'ri', 'jakarta', 'selengkapnya']",netral
Anda tinggal membandingkan… kampanye yang sholawat yang menyejukkan. Atau dengan joget Gemoy yg menjadi bahan tertawaan oleh ketua tim ...,tinggal banding kampanye sholawat sejuk joget gemoy bahan tawa ketua tim,"['tinggal', 'membandingkan…', 'kampanye', 'sholawat', 'menyejukkan', 'joget', 'gemoy', 'yg', 'bahan', 'tertawaan', 'ketua', 'tim']",netral
"Hal Yang Dilarang Saat Kampanye Kalian tahu ga sih pada saat kampanye ada beberapa hal yang dilarang loh, apa saja itu? Yuk simak informasi ...",hal larang kampanye tidak kampanye hal larang lho yuk simak informasi,"['dilarang', 'kampanye', 'ga', 'sih', 'kampanye', 'dilarang', 'loh', 'yuk', 'simak', 'informasi']",netral
"... kampanye para calon presiden, melihat lebih dekat bagaimana cara mereka masing-masing berjumpa dengan rakyat. “Jejak Kampanye Capres 2024 ...",kampanye calon presiden masingmasing jumpa rakyat jejak kampanye capres,"['kampanye', 'calon', 'presiden', 'masingmasing', 'berjumpa', 'rakyat', '“jejak', 'kampanye', 'capres']",netral
"Feb 23, 2022 — Dengan meningkatnya optimisme masyarakat Indonesia menyambut Ramadan 2022, brand memiliki kesempatan besar untuk menghadirkan kampanye yang ...",feb tingkat optimisme masyarakat indonesia sambut ramadan brand milik sempat besar hadir kampanye,"['feb', '—', 'meningkatnya', 'optimisme', 'masyarakat', 'indonesia', 'menyambut', 'ramadan', 'brand', 'memiliki', 'kesempatan', 'menghadirkan', 'kampanye']",netral
"Tahapan kampanye pemilu serentak 2024 sudah dimulai sejak 28 November 2023 - 10 Februari 2024. #SahabatBawaslu, berikut hal-hal yang ...",tahap kampanye milu serentak november februari sahabatbawaslu halhal,"['tahapan', 'kampanye', 'pemilu', 'serentak', 'november', 'februari', 'halhal']",positif
"Mata Najwa merekam bagaimana jejak kampanye Prabowo Subianto, Anies Baswedan, dan Ganjar Pranowo. Lengkapnya bisa kamu tonton di link ...",mata najwa rekam jejak kampanye prabowo subianto anies baswedan ganjar pranowo lengkap tonton link,"['mata', 'najwa', 'merekam', 'jejak', 'kampanye', 'prabowo', 'subianto', 'anies', 'baswedan', 'ganjar', 'pranowo', 'lengkapnya', 'tonton', 'link']",netral
repost @bawasluri Tahapan kampanye pemilu serentak 2024 sudah dimulai sejak 28 November 2023 - 10 Februari 2024.,repost tahap kampanye milu serentak november februari,"['repost', 'tahapan', 'kampanye', 'pemilu', 'serentak', 'november', 'februari']",netral
"Kampanye sudah paripurna, pasti semua pendukung merasa sukses dgn semua kegiatan paslon pilihannya selama masa kampanye.",kampanye paripurna dukung sukses dengan giat paslon pilih kampanye,"['kampanye', 'paripurna', 'pendukung', 'sukses', 'dgn', 'kegiatan', 'paslon', 'pilihannya', 'kampanye']",negatif
... ? atau Kulit lebam terpukul bambu spanduk dan kulit lecet akibat celaka setelah pandangan terhalang bendera kampanye parpol ?,kulit lebam pukul bambu spanduk kulit lecet akibat celaka pandang halang bendera kampanye parpol,"['kulit', 'lebam', 'terpukul', 'bambu', 'spanduk', 'kulit', 'lecet', 'akibat', 'celaka', 'pandangan', 'terhalang', 'bendera', 'kampanye', 'parpol']",negatif
"pengeluaran dana kampanye peserta pemilu wajib dikelola dan dipertanggungjawabkan berdasarkan prinsip legal, akuntabel, dan transparan.",keluar dana kampanye serta milu wajib kelola dipertanggungjawabkan dasar prinsip legal akuntabel transparan,"['pengeluaran', 'dana', 'kampanye', 'peserta', 'pemilu', 'wajib', 'dikelola', 'dipertanggungjawabkan', 'berdasarkan', 'prinsip', 'legal', 'akuntabel', 'transparan']",netral
"Masa kampanye Pemilu 2024 sudah dimulai! Tahukah kamu, ternyata ada ketentuan untuk pemasangan alat peraga kampanye.",kampanye milu tahu tentu pasang alat raga kampanye,"['kampanye', 'pemilu', 'tahukah', 'ketentuan', 'pemasangan', 'alat', 'peraga', 'kampanye']",netral
"Semua acara kampanye juga begitu, yang utama adalah orasi capresnya. But, ya menurutku dMasiv juga musisi terbaik kenamaan di Indonesia, ...",acara kampanye utama orasi capresnya but turut dmasiv musisi baik nama indonesia,"['acara', 'kampanye', 'utama', 'orasi', 'capresnya', 'but', 'ya', 'menurutku', 'dmasiv', 'musisi', 'terbaik', 'kenamaan', 'indonesia']",netral
"SahabatBawaslu, tahapan kampanye pemilu serentak 2024 sudah dimulai sejak 28 November 2023 - 10 Februari 2024.",sahabatbawaslu tahap kampanye milu serentak november februari,"['sahabatbawaslu', 'tahapan', 'kampanye', 'pemilu', 'serentak', 'november', 'februari']",netral
"Bongkar Fakta Perbedaan Nyata Kampanye Paslon 01 di JIS dengan Paslon 02 di GBK, Beda Jauh!",bongkar fakta beda nyata kampanye paslon jis paslon gbk beda,"['bongkar', 'fakta', 'perbedaan', 'nyata', 'kampanye', 'paslon', 'jis', 'paslon', 'gbk', 'beda']",negatif
Hari ini TAHAPAN MASA KAMPANYE sudah DIMULAI !! cari tahu yuk profesi apa saja yang dilarang ikut kampanye pada Pemilu 2024 #AyoAwasiBersama ...,tahap kampanye cari yuk profesi larang kampanye milu ayoawasibersama,"['tahapan', 'kampanye', 'cari', 'yuk', 'profesi', 'dilarang', 'kampanye', 'pemilu']",netral
"Datang dan ramaikan Kampanye Akbar AMIN! Senin, 22 Januari 2024 di Stadion Mini Cikarang Utara, Kab. Bekasi dan GOR Parung, Kab. Bogor.",ramai kampanye akbar amin januari stadion mini cikarang utara kab bekas gor parung kab bogor,"['ramaikan', 'kampanye', 'akbar', 'amin', 'senin', 'januari', 'stadion', 'mini', 'cikarang', 'utara', 'kab', 'bekasi', 'gor', 'parung', 'kab', 'bogor']",positif
"Memasuki masa kampanye Pemilu 2024, ASN harus tetap netral yaa #SobatBKN Untuk menjaga netralitas ASN dan tentunya mengantisipasi ...",masuk kampanye milu asn netral yaa sobatbkn jaga asn antisipasi,"['memasuki', 'kampanye', 'pemilu', 'asn', 'netral', 'yaa', 'menjaga', 'netralitas', 'asn', 'mengantisipasi']",netral
"Menjelang hari terakhir kampanye, capres nomor urut 3, Ganjar Pranowo, melanjutkan kampanyenya ke Bogor, Jawa Barat.",jelang kampanye capres nomor urut ganjar pranowo lanjut kampanye bogor jawa barat,"['menjelang', 'kampanye', 'capres', 'nomor', 'urut', 'ganjar', 'pranowo', 'melanjutkan', 'kampanyenya', 'bogor', 'jawa', 'barat']",positif
Yuk #SahabatBawaslu ikuti diskusi publik dengan tema “Kampanye dan Dana Kampanye di Pemilu 2024” HARI INI pukul 13.30 di Media Center ...,yuk sahabatbawaslu ikut diskusi publik tema kampanye dana kampanye milu media center,"['yuk', 'ikuti', 'diskusi', 'publik', 'tema', '“kampanye', 'dana', 'kampanye', 'pemilu', '”', 'media', 'center']",netral
tahapan Kampanye dan dana Kampanye.Setelahnya pemaparan materi tentang penggunaan aplikasi SIKADEKA dipandu oleh Admin dan Operator SIKADEKA ...,tahap kampanye dana kampanyesetelahnya papar materi guna aplikasi sikadeka pandu admin operator sikadeka,"['tahapan', 'kampanye', 'dana', 'kampanyesetelahnya', 'pemaparan', 'materi', 'penggunaan', 'aplikasi', 'sikadeka', 'dipandu', 'admin', 'operator', 'sikadeka']",netral
"Kita gak lagi kampanye, hanya share video misalnya ini: kalau ada pemain yg tendang bola secara insidentil. Gak punya liga, gak pakai ...",tidak kampanye share video main tendang bola insidentil tidak liga tidak pakai,"['gak', 'kampanye', 'share', 'video', 'pemain', 'yg', 'tendang', 'bola', 'insidentil', 'gak', 'liga', 'gak', 'pakai']",netral
RAKOR Persiapan Pelaksanaan Kampanye PEMILU 2024 Bersama PPK SE-KAB MAIDUN info lengkap kunjungi :https://t.co/8NtMHgcb9e.,rakor siap laksana kampanye milu ppk sekab maidun info lengkap kunjung httpstcontmhgcbe,"['rakor', 'persiapan', 'pelaksanaan', 'kampanye', 'pemilu', 'ppk', 'sekab', 'maidun', 'info', 'lengkap', 'kunjungi']",netral
"Aneh banget ada yang kampanye capres pake quote dari Henry Kissinger. 1:38 PM · Jan 17, 2024. ·. 498.3K. Views.",aneh kampanye capres pake quote henry kissinger pm jan k views,"['aneh', 'banget', 'kampanye', 'capres', 'pake', 'quote', 'henry', 'kissinger', 'pm', '·', 'jan', '·', 'k', 'views']",netral
TemanPemilih Yuk simak Jadwal Tahapan Kampanye Pemilu Tahun 2024 #KPUMelayani #PemiluSerentak2024 #KPUKotaMadiun.,temanpemilih yuk simak jadwal tahap kampanye milu kpumelayani pemiluserentak kpukotamadiun,"['temanpemilih', 'yuk', 'simak', 'jadwal', 'tahapan', 'kampanye', 'pemilu']",netral
"Datang dan ramaikan Kampanye Akbar AMIN! Selasa, 23 Januari 2024 di Lapangan Jambidan Bantul dan Desak Anies Edisi Pendidikan di Museum ...",ramai kampanye akbar amin januari lapang jambidan bantul desak anies edisi didik museum,"['ramaikan', 'kampanye', 'akbar', 'amin', 'selasa', 'januari', 'lapangan', 'jambidan', 'bantul', 'desak', 'anies', 'edisi', 'pendidikan', 'museum']",netral
